iteracion,algoritmo,accuracy_original,ba_original,accuracy_limpia,ba_limpia,delta_accuracy,delta_ba,reglas_originales,reglas_limpias,duplicadas_eliminadas,antecedentes_promedio,antecedentes_min,antecedentes_max,sin_activacion
1,GENETIC_ALGORITHM,0.47134387351778656,0.48188285215076126,0.47134387351778656,0.48188285215076126,0.0,0.0,368,55,313,6.0,6,6,117
1,PRISM,0.029644268774703556,0.032627737563672335,0.029644268774703556,0.032627737563672335,0.0,0.0,4,4,0,6.0,6,6,982
1,RIPPER,0.37450592885375494,0.37304014014846865,0.37450592885375494,0.37304014014846865,0.0,0.0,35,29,6,6.0,6,6,448
2,GENETIC_ALGORITHM,0.5207509881422925,0.5218028630594153,0.5207509881422925,0.5218028630594153,0.0,0.0,368,137,231,6.0,6,6,48
2,PRISM,0.021739130434782608,0.026027077497665734,0.021739130434782608,0.026027077497665734,0.0,0.0,2,2,0,6.0,6,6,990
2,RIPPER,0.3774703557312253,0.37004430485065315,0.3774703557312253,0.37004430485065315,0.0,0.0,36,30,6,6.0,6,6,429
3,GENETIC_ALGORITHM,0.5069169960474308,0.5234362721986484,0.5069169960474308,0.5234362721986484,0.0,0.0,368,129,239,6.0,6,6,56
3,PRISM,0.05731225296442688,0.05573004779469543,0.05731225296442688,0.05573004779469543,0.0,0.0,5,5,0,6.0,6,6,946
3,RIPPER,0.4308300395256917,0.4299523439738932,0.4308300395256917,0.4299523439738932,0.0,0.0,36,31,5,6.0,6,6,330
4,GENETIC_ALGORITHM,0.4841897233201581,0.4990206478631056,0.4841897233201581,0.4990206478631056,0.0,0.0,368,145,223,6.0,6,6,35
4,PRISM,0.018774703557312252,0.02288390603766259,0.018774703557312252,0.02288390603766259,0.0,0.0,2,2,0,6.0,6,6,993
4,RIPPER,0.39920948616600793,0.40258364071701286,0.39920948616600793,0.40258364071701286,0.0,0.0,32,28,4,6.0,6,6,406
5,GENETIC_ALGORITHM,0.4762845849802372,0.48020148653520817,0.4762845849802372,0.48020148653520817,0.0,0.0,368,53,315,6.0,6,6,167
5,PRISM,0.037549407114624504,0.03922839762967894,0.037549407114624504,0.03922839762967894,0.0,0.0,5,5,0,6.0,6,6,971
5,RIPPER,0.4298418972332016,0.42996216638470575,0.4298418972332016,0.42996216638470575,0.0,0.0,37,31,6,6.0,6,6,351
6,GENETIC_ALGORITHM,0.5009881422924901,0.5068363979255068,0.5009881422924901,0.5068363979255068,0.0,0.0,368,53,315,6.0,6,6,142
6,PRISM,0.021739130434782608,0.026027077497665734,0.021739130434782608,0.026027077497665734,0.0,0.0,2,2,0,6.0,6,6,990
6,RIPPER,0.3824110671936759,0.37860829150141906,0.3824110671936759,0.37860829150141906,0.0,0.0,32,26,6,6.0,6,6,422
7,GENETIC_ALGORITHM,0.4762845849802372,0.49642233130876107,0.4762845849802372,0.49642233130876107,0.0,0.0,368,55,313,6.0,6,6,142
7,PRISM,0.02865612648221344,0.032637559974484844,0.02865612648221344,0.032637559974484844,0.0,0.0,3,3,0,6.0,6,6,981
7,RIPPER,0.40217391304347827,0.3956484408945096,0.40217391304347827,0.3956484408945096,0.0,0.0,31,26,5,6.0,6,6,386
8,GENETIC_ALGORITHM,0.5029644268774703,0.5144961449926506,0.5029644268774703,0.5144961449926506,0.0,0.0,368,116,252,6.0,6,6,64
8,PRISM,0.017786561264822136,0.022058823529411766,0.017786561264822136,0.022058823529411766,0.0,0.0,1,1,0,6.0,6,6,994
8,RIPPER,0.39031620553359686,0.38273832635364374,0.39031620553359686,0.38273832635364374,0.0,0.0,35,29,6,6.0,6,6,444
9,GENETIC_ALGORITHM,0.5,0.5076470357119746,0.5,0.5076470357119746,0.0,0.0,368,64,304,6.0,6,6,124
9,PRISM,0.045454545454545456,0.046663962614748866,0.045454545454545456,0.046663962614748866,0.0,0.0,4,4,0,6.0,6,6,956
9,RIPPER,0.4318181818181818,0.43445100812602266,0.4318181818181818,0.43445100812602266,0.0,0.0,37,33,4,6.0,6,6,359
10,GENETIC_ALGORITHM,0.4733201581027668,0.49264359209030145,0.4733201581027668,0.49264359209030145,0.0,0.0,368,55,313,6.0,6,6,143
10,PRISM,0.023715415019762844,0.027677242514167383,0.023715415019762844,0.027677242514167383,0.0,0.0,3,3,0,6.0,6,6,988
10,RIPPER,0.3675889328063241,0.3645946002163241,0.3675889328063241,0.3645946002163241,0.0,0.0,35,29,6,6.0,6,6,452
11,GENETIC_ALGORITHM,0.4525691699604743,0.4849624668349188,0.4525691699604743,0.4849624668349188,0.0,0.0,368,47,321,6.0,6,6,140
11,PRISM,0.04940711462450593,0.049129387728688835,0.04940711462450593,0.049129387728688835,0.0,0.0,5,5,0,6.0,6,6,946
11,RIPPER,0.3883399209486166,0.39664454890867235,0.3883399209486166,0.39664454890867235,0.0,0.0,36,30,6,6.0,6,6,363
12,GENETIC_ALGORITHM,0.5365612648221344,0.5397495631916133,0.5365612648221344,0.5397495631916133,0.0,0.0,368,159,209,6.0,6,6,27
12,PRISM,0.040513833992094864,0.0417036451544314,0.040513833992094864,0.0417036451544314,0.0,0.0,4,4,0,6.0,6,6,963
12,RIPPER,0.3221343873517787,0.33201655249558565,0.3221343873517787,0.33201655249558565,0.0,0.0,37,30,7,6.0,6,6,524
13,GENETIC_ALGORITHM,0.4891304347826087,0.4988080215584583,0.4891304347826087,0.4988080215584583,0.0,0.0,368,159,209,6.0,6,6,31
13,PRISM,0.036561264822134384,0.04040708692718011,0.036561264822134384,0.04040708692718011,0.0,0.0,4,4,0,6.0,6,6,969
13,RIPPER,0.33992094861660077,0.3428281378558024,0.33992094861660077,0.3428281378558024,0.0,0.0,32,27,5,6.0,6,6,516
14,GENETIC_ALGORITHM,0.48616600790513836,0.48001659409638436,0.48616600790513836,0.48001659409638436,0.0,0.0,368,88,280,6.0,6,6,87
14,PRISM,0.02766798418972332,0.03181247746623402,0.02766798418972332,0.03181247746623402,0.0,0.0,3,3,0,6.0,6,6,982
14,RIPPER,0.3685770750988142,0.3668884220354809,0.3685770750988142,0.3668884220354809,0.0,0.0,36,31,5,6.0,6,6,458
15,GENETIC_ALGORITHM,0.5009881422924901,0.5112460825914524,0.5009881422924901,0.5112460825914524,0.0,0.0,368,133,235,6.0,6,6,36
15,PRISM,0.017786561264822136,0.022058823529411766,0.017786561264822136,0.022058823529411766,0.0,0.0,1,1,0,6.0,6,6,994
15,RIPPER,0.4308300395256917,0.42321532573425413,0.4308300395256917,0.42321532573425413,0.0,0.0,33,30,3,6.0,6,6,335
16,GENETIC_ALGORITHM,0.4525691699604743,0.48236068354734635,0.4525691699604743,0.48236068354734635,0.0,0.0,368,47,321,6.0,6,6,125
16,PRISM,0.029644268774703556,0.032627737563672335,0.029644268774703556,0.032627737563672335,0.0,0.0,4,4,0,6.0,6,6,982
16,RIPPER,0.3409090909090909,0.3490595908330329,0.3409090909090909,0.3490595908330329,0.0,0.0,35,27,8,6.0,6,6,455
17,GENETIC_ALGORITHM,0.5029644268774703,0.5124600170101044,0.5029644268774703,0.5124600170101044,0.0,0.0,368,148,220,6.0,6,6,27
17,PRISM,0.02766798418972332,0.030977572547170682,0.02766798418972332,0.030977572547170682,0.0,0.0,3,3,0,6.0,6,6,982
17,RIPPER,0.32608695652173914,0.33060905880504016,0.32608695652173914,0.33060905880504016,0.0,0.0,33,27,6,6.0,6,6,541
18,GENETIC_ALGORITHM,0.5158102766798419,0.5181495040260328,0.5158102766798419,0.5181495040260328,0.0,0.0,368,158,210,6.0,6,6,33
18,PRISM,0.040513833992094864,0.04454232187924675,0.040513833992094864,0.04454232187924675,0.0,0.0,4,4,0,6.0,6,6,961
18,RIPPER,0.4723320158102767,0.4737845633302826,0.4723320158102767,0.4737845633302826,0.0,0.0,38,35,3,6.0,6,6,318
19,GENETIC_ALGORITHM,0.5197628458498024,0.5073997420750479,0.5197628458498024,0.5073997420750479,0.0,0.0,368,116,252,6.0,6,6,51
19,PRISM,0.021739130434782608,0.026027077497665734,0.021739130434782608,0.026027077497665734,0.0,0.0,2,2,0,6.0,6,6,990
19,RIPPER,0.4268774703557312,0.42445583844098694,0.4268774703557312,0.42445583844098694,0.0,0.0,35,30,5,6.0,6,6,363
20,GENETIC_ALGORITHM,0.5039525691699605,0.5054728161891819,0.5039525691699605,0.5054728161891819,0.0,0.0,368,107,261,6.0,6,6,59
20,PRISM,0.021739130434782608,0.026027077497665734,0.021739130434782608,0.026027077497665734,0.0,0.0,2,2,0,6.0,6,6,990
20,RIPPER,0.35079051383399207,0.35006898799123615,0.35079051383399207,0.35006898799123615,0.0,0.0,34,25,9,6.0,6,6,479
